id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
111,early check-in,/ˈɝː.li ˈtʃek.ɪn/,提早入住,Is early check-in available?,可以提早入住嗎？,We arrived early and need early check-in.,我們提早到了，需要提早入住。,Hotel / Accommodation,medium,0,
112,late check-out,/leɪt ˈtʃek.aʊt/,延後退房,Can we have late check-out?,我們可以延後退房嗎？,Is there an extra charge for late check-out?,延後退房需要加收費用嗎？,Hotel / Accommodation,medium,0,
113,room,/ruːm/,房間,Is our room ready?,我們的房間準備好了嗎？,Our room is too small for five people.,我們的房間對五個人來說太小了。,Hotel / Accommodation,easy,0,
114,family room,/ˈfæm.əl.i ruːm/,家庭房,Do you have a family room?,你們有家庭房嗎？,We prefer a family room with two beds.,我們比較想要有兩張床的家庭房。,Hotel / Accommodation,medium,0,
115,connecting room,/kəˈnek.tɪŋ ruːm/,連通房,Can we book a connecting room for our family?,我們可以為家人預訂一間連通房嗎？,Connecting rooms are better for our family.,連通房對我們家比較方便。,Hotel / Accommodation,medium,0,
116,twin room,/twɪn ruːm/,雙床房,We need a twin room.,我們需要雙床房。,Does the twin room have two single beds?,雙床房有兩張單人床嗎？,Hotel / Accommodation,easy,0,
117,double room,/ˈdʌb.əl ruːm/,雙人房,We booked a double room.,我們訂了一間雙人房。,Is the double room suitable for two adults?,雙人房適合兩位大人嗎？,Hotel / Accommodation,easy,0,
118,extra bed,/ˈek.strə bed/,加床,Can we add an extra bed?,可以加床嗎？,How much is an extra bed per night?,加床一晚多少錢？,Hotel / Accommodation,medium,0,
119,crib,/krɪb/,嬰兒床,Do you have a crib?,你們有嬰兒床嗎？,We do not need a crib for our children.,我們的小孩不需要嬰兒床。,Hotel / Accommodation,medium,0,
120,key card,/ˈkiː kɑːrd/,房卡,My key card does not work.,我的房卡不能用。,Could you replace my key card?,可以幫我換一張房卡嗎？,Hotel / Accommodation,easy,0,
121,room number,/ruːm ˈnʌm.bɚ/,房號,What is our room number?,我們的房號是多少？,Please write down the room number.,請寫下房號。,Hotel / Accommodation,easy,0,
122,floor,/flɔːr/,樓層；地板,Which floor is our room on?,我們的房間在哪一樓？,The breakfast area is on the third floor.,早餐區在三樓。,Hotel / Accommodation,easy,0,
123,elevator,/ˈel.ə.veɪ.t̬ɚ/,電梯,Where is the elevator?,電梯在哪裡？,The elevator is too crowded for the stroller.,電梯太擠，不方便推車。,Hotel / Accommodation,medium,0,
124,stairs,/sterz/,樓梯,Where are the stairs?,樓梯在哪裡？,We cannot use the stairs with luggage.,我們帶行李不方便走樓梯。,Hotel / Accommodation,easy,0,
125,luggage,/ˈlʌɡ.ɪdʒ/,行李,Could we leave our luggage here?,可以寄放行李嗎？,Where can we collect our luggage?,我們在哪裡領行李？,Hotel / Accommodation,medium,0,
126,luggage storage,/ˈlʌɡ.ɪdʒ ˈstɔːr.ɪdʒ/,行李寄放,Do you have luggage storage?,你們有行李寄放服務嗎？,We need luggage storage after check-out.,退房後我們需要寄放行李。,Hotel / Accommodation,medium,0,
127,porter,/ˈpɔːr.t̬ɚ/,行李員,Could a porter help us with the luggage?,可以請行李員幫我們搬行李嗎？,The porter will bring your luggage to the room.,行李員會把你的行李送到房間。,Hotel / Accommodation,hard,0,
128,housekeeping,/ˈhaʊsˌkiː.pɪŋ/,房務,Could you send housekeeping to our room?,可以請房務到我們房間嗎？,Housekeeping forgot to replace the towels.,房務忘了更換毛巾。,Hotel / Accommodation,hard,0,
129,cleaning,/ˈkliː.nɪŋ/,清潔,Could you clean our room?,可以幫我們清潔房間嗎？,We do not need cleaning today.,我們今天不需要清潔。,Hotel / Accommodation,easy,0,
130,blanket,/ˈblæŋ.kɪt/,毯子,Could we have an extra blanket?,可以多給我們一條毯子嗎？,My child feels cold and needs a blanket.,我的小孩覺得冷，需要一條毯子。,Hotel / Accommodation,medium,0,
131,pillow,/ˈpɪl.oʊ/,枕頭,Could we have another pillow?,可以多給我們一個枕頭嗎？,This pillow is too high for my child.,這個枕頭對我的小孩來說太高了。,Hotel / Accommodation,easy,0,
132,toothbrush,/ˈtuːθ.brʌʃ/,牙刷,Could we have a toothbrush for each child?,可以給每個小孩一支牙刷嗎？,We need five toothbrushes.,我們需要五支牙刷。,Hotel / Accommodation,medium,0,
133,toothpaste,/ˈtuːθ.peɪst/,牙膏,Do you provide toothpaste?,你們有提供牙膏嗎？,We forgot to bring toothpaste.,我們忘了帶牙膏。,Hotel / Accommodation,medium,0,
134,shampoo,/ʃæmˈpuː/,洗髮精,We need more shampoo.,我們需要更多洗髮精。,Is the shampoo in the bathroom free?,浴室裡的洗髮精是免費的嗎？,Hotel / Accommodation,medium,0,
135,body wash,/ˈbɑː.di wɑːʃ/,沐浴乳,Could we have more body wash?,可以多給我們一些沐浴乳嗎？,The body wash bottle is empty.,沐浴乳瓶子空了。,Hotel / Accommodation,medium,0,
136,hair dryer,/ˈher ˌdraɪ.ɚ/,吹風機,Is there a hair dryer in the room?,房間裡有吹風機嗎？,The hair dryer is not working.,吹風機不能用。,Hotel / Accommodation,medium,0,
137,air conditioner,/ˈer kənˌdɪʃ.ən.ɚ/,冷氣；空調,The air conditioner is not working.,冷氣不能用。,Could you adjust the air conditioner?,可以幫我們調整冷氣嗎？,Hotel / Accommodation,medium,0,
138,hot water,/hɑːt ˈwɑː.t̬ɚ/,熱水,There is no hot water.,沒有熱水。,The hot water is not warm enough.,熱水不夠熱。,Hotel / Accommodation,easy,0,
139,shower,/ˈʃaʊ.ɚ/,淋浴；淋浴設備,The shower is leaking.,淋浴設備在漏水。,The shower water pressure is weak.,淋浴水壓很弱。,Hotel / Accommodation,medium,0,
140,toilet,/ˈtɔɪ.lət/,馬桶；廁所,The toilet is blocked.,馬桶堵住了。,Could you send someone to fix the toilet?,可以派人來修馬桶嗎？,Hotel / Accommodation,easy,0,
141,sink,/sɪŋk/,洗手台；水槽,The sink is clogged.,洗手台堵住了。,The sink is leaking under the counter.,洗手台下方在漏水。,Hotel / Accommodation,medium,0,
142,safe,/seɪf/,保險箱；安全的,Is there a safe in the room?,房間裡有保險箱嗎？,I cannot open the safe.,我打不開保險箱。,Hotel / Accommodation,medium,0,
143,Wi-Fi,/ˈwaɪ faɪ/,無線網路,What is the Wi-Fi password?,Wi-Fi 密碼是什麼？,The Wi-Fi is slow in our room.,我們房間的 Wi-Fi 很慢。,Hotel / Accommodation,easy,0,
144,password,/ˈpæs.wɝːd/,密碼,Could you write down the password?,可以幫我寫下密碼嗎？,The password does not work.,密碼不能用。,Hotel / Accommodation,medium,0,
145,charger,/ˈtʃɑːr.dʒɚ/,充電器,I forgot my charger.,我忘了帶充電器。,Do you have a phone charger I can borrow?,你們有手機充電器可以借嗎？,Hotel / Accommodation,medium,0,
146,adapter,/əˈdæp.tɚ/,轉接頭；轉接器,Do you have a travel adapter?,你們有旅行轉接頭嗎？,We need an adapter for Singapore outlets.,我們需要新加坡插座用的轉接頭。,Hotel / Accommodation,medium,0,
147,breakfast,/ˈbrek.fəst/,早餐,What time does breakfast start?,早餐幾點開始？,Is breakfast included in our booking?,我們的訂房有包含早餐嗎？,Hotel / Accommodation,easy,0,
148,shuttle bus,/ˈʃʌt̬.əl bʌs/,接駁車,Do you have a shuttle bus to the airport?,你們有到機場的接駁車嗎？,What time does the shuttle bus leave?,接駁車幾點出發？,Hotel / Accommodation,medium,0,
149,taxi,/ˈtæk.si/,計程車,Could you help us call a taxi?,可以幫我們叫計程車嗎？,Where is the taxi stand?,計程車招呼站在哪裡？,Hotel / Accommodation,easy,0,
150,airport,/ˈer.pɔːrt/,機場,We are going to the airport.,我們要去機場。,How long does it take to get to the airport?,到機場需要多久？,Transportation / Travel,easy,0,
151,terminal,/ˈtɝː.mə.nəl/,航廈；終點站,Which terminal is our flight in?,我們的航班在哪個航廈？,We need to go to Terminal 3.,我們需要去第三航廈。,Transportation / Travel,medium,0,
